start_s,end_s,label,trigger_event,noise_flag,intensity
00:09,00:11,Fear,,0,2
00:13,00:15,NotFear,,0,2
00:16,00:18,Fear,,0,2
00:45,00:50,Fear,,0,3
00:53,00:56,Fear,,0,3
01:06,01:10,Fear,,0,4
01:22,01:30,Fear,,0,3
01:45,01:55,Fear,,0,2
01:56,02:04,Fear,,0,4
02:08,02:13,Fear,,0,2
02:15,02:17,Fear,,0,4
02:46,02:52,Fear,,0,1
02:58,03:12,Fear,,0,2
03:17,03:21,Fear,,0,2
03:34,03:48,Fear,,0,2
03:59,04:03,Occluded,,1,0
04:35,04:41,Fear,,0,2
04:57,04:59,Fear,,0,1
05:08,05:19,Fear,,0,3
05:29,05:32,Fear,,0,2
05:35,05:39,Fear,,0,3
05:58,06:01,Fear,,0,2
06:10,06:13,Fear,,0,1
,,,,,
