start_s,end_s,label,trigger_event,noise_flag,intensity
00:09,00:15,fear,jumpscare,1,4
00:19,00:21,fear,slow-mo recap,0,4
00:24,00:28,fear,jumpscare,0,5
00:28,00:33,laughter,fear surpressed with laughter,0,2
00:33,00:39,fear,chase,0,4
00:44,00:49,fear,jumpscare,0,4
00:50,01:02,fear,jumpscare,0,4
01:15,01:23,fear,jumpscare,0,4
01:29,01:31,fear,jumpscare,0,3
01:55,01:59,fear,slow-mo recap,0,3
02:02,02:06,fear,jumpscare,0,4
02:15,02:22,fear,jumpscare,0,5
02:42,02:45,fear,slow-mo recap,0,4
02:46,03:16,obscured,no trigger should happen with this darkness,1,0
03:20,03:25,obscured,"camera fell off, hand on face",1,0
03:38,03:43,fear,jumpscare,0,4
03:47,03:55,obscured,"partially obscured, hand covering mouth",1,0
04:21,04:26,obscured,player out of camera view,1,0
